anisotropy_R,mode,method,R2,log10_RMSE
2,random,IDW,0.7624,0.0412
2,random,OK,0.8968,0.0243
2,random,Aniso_OK,0.8518,0.0311
2,random,TPS,0.9543,0.0135
2,spatial,IDW,0.684,0.0722
2,spatial,OK,0.8581,0.0442
2,spatial,Aniso_OK,0.767,0.0564
2,spatial,TPS,0.888,0.037
5,random,IDW,0.8258,0.0663
5,random,OK,0.9398,0.0225
5,random,Aniso_OK,0.7951,0.0397
5,random,TPS,0.9785,0.0114
5,spatial,IDW,0.0733,0.3193
5,spatial,OK,0.8465,0.1476
5,spatial,Aniso_OK,0.6397,0.0967
5,spatial,TPS,0.8193,0.0936
10,random,IDW,0.7941,0.1287
10,random,OK,0.2862,0.2308
10,random,Aniso_OK,0.7277,0.0448
10,random,TPS,0.9859,0.027
10,spatial,IDW,-5.7485,1.0194
10,spatial,OK,0.5737,0.5927
10,spatial,Aniso_OK,0.7316,0.1441
10,spatial,TPS,0.666,0.3126
20,random,IDW,0.58,0.1823
20,random,OK,-0.0357,1.4806
20,random,Aniso_OK,0.6463,0.0465
20,random,TPS,0.9317,0.0598
20,spatial,IDW,-15.3376,1.1463
20,spatial,OK,-0.566,1.3771
20,spatial,Aniso_OK,0.7841,0.2271
20,spatial,TPS,0.733,0.4162
