anisotropy_R,mode,method,R2,log10_RMSE
2,random,IDW,0.4993,0.2787
2,random,OK,0.9101,0.0838
2,random,Aniso_OK,0.9788,0.0354
2,random,TPS,0.9,0.0616
2,spatial,IDW,0.1895,0.4318
2,spatial,OK,0.4174,0.3767
2,spatial,Aniso_OK,0.8153,0.1689
2,spatial,TPS,0.7903,0.1503
5,random,IDW,0.3885,0.3003
5,random,OK,0.968,0.0728
5,random,Aniso_OK,0.999,0.0181
5,random,TPS,0.9797,0.0675
5,spatial,IDW,0.1252,0.4431
5,spatial,OK,0.3325,0.3982
5,spatial,Aniso_OK,0.9651,0.0557
5,spatial,TPS,0.6827,0.2727
10,random,IDW,0.4474,0.3326
10,random,OK,0.9747,0.1032
10,random,Aniso_OK,0.9932,0.018
10,random,TPS,0.9814,0.0826
10,spatial,IDW,0.1375,0.4665
10,spatial,OK,0.1927,0.422
10,spatial,Aniso_OK,0.9685,0.0363
10,spatial,TPS,0.6555,0.213
20,random,IDW,0.3186,0.3504
20,random,OK,0.959,0.086
20,random,Aniso_OK,0.9989,0.0089
20,random,TPS,0.9759,0.0759
20,spatial,IDW,0.1585,0.4638
20,spatial,OK,0.3955,0.3757
20,spatial,Aniso_OK,0.996,0.015
20,spatial,TPS,0.7889,0.2073
